,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0
QtClasses,"[105.0, 112.0]","[105.0, 112.0]","[106.0, 111.0]","[106.0, 111.0]","[106.0, 111.0]","[106.0, 111.0]","[106.0, 111.0]","[106.0, 111.0]","[106.0, 111.0]","[106.0, 111.0]"
M_Acu,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961,0.461038961038961
M_Rev,0.46756347410759175,0.46756347410759175,0.47050465057818,0.47050465057818,0.47050465057818,0.47050465057818,0.47050465057818,0.47050465057818,0.47050465057818,0.47050465057818
M_Pre,0.751869241869242,0.751869241869242,0.7541419691419693,0.7541419691419693,0.7541419691419693,0.7541419691419693,0.7541419691419693,0.7541419691419693,0.7541419691419693,0.7541419691419693
I_Acu,"(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)","(0.453559519168725, 0.46851840290919705)"
I_Rev,"(0.4215372170079378, 0.5135897312072457)","(0.4215372170079378, 0.5135897312072457)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)","(0.42389133738015317, 0.5171179637762068)"
I_Pre,"(0.6555053312103124, 0.8482331525281716)","(0.6555053312103124, 0.8482331525281716)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)","(0.6579709462448025, 0.8503129920391361)"
