OctEndoL0001,OctEndoL0007,OctEndoL0103,OctEndoL0106,OctEndoL0107,OctEndoL0108,OctEndoL0202,OctEndoL0206,OctEndoL0303,OctEndoL0308,OctEndoL0407,OctEndoL0808,OctEndoL1003,OctEpiL0007,OctEpiL0107,OctEpiL0207,OctEpiL0303,OctEpiL0306,OctEpiL0307,OctEpiL0308,OctEpiL0403,OctEpiL0503,OctEpiL0507,OctEpiL0508,OctEpiL0702,OctEpiL0703,OctEpiL0704,OctEpiL0707,OctEpiL0804,OctEpiL0807,OctEpiL0907,OctEpiL1007,OctParedeL0007,OctParedeL0008,OctParedeL0105,OctParedeL0107,OctParedeL0108,OctParedeL0201,OctParedeL0202,OctParedeL0203,OctParedeL0207,OctParedeL0208,OctParedeL0308,OctParedeL0604,OctParedeL0608,OctParedeL1007,TotalEndoSpharmL00,TotalEndoSpharmL06,TotalEndoSpharmL08,TotalEpiSpharmL00,TotalEpiSpharmL06,TotalParedeSpharmL00,TotalParedeSpharmL04,TARGET
4613.575023990529,-893.7061612094722,-19886.166425663243,-2039.0308836638053,-7820.588517128429,-54260.616692005446,15977.771925468163,24624.669490794,-5880.112340397028,19976.371574863184,49145.96270201925,5049995.790852362,-7106150.273767204,-3022.077940399645,-9197.1825174816,127569.83786177385,-15482.676754243435,398185.48945239367,-19539.979113804242,38503.866571064646,5634.6786649982605,9297.311235360348,-54328.797736713226,-111270.74498726329,-20228.53850152729,-66338.3515888169,-49736.53025754285,-150848.83910040048,-145308.76266887726,-112748.37052979704,10459225.826814966,827675.0864586355,-3535.592190394231,-5373.7618009156895,83570.7226420771,-21211.275737724154,-109599.536721204,-332156.17037166393,9467.957978854782,769.6613612074975,157302.54113997356,98171.88118035012,63363.665805890254,154376.26391409014,1260232.0070982992,245855.62114164056,3557.256128201085,1955183.6205618763,2449197.3561486667,4299.59113124377,449252.57760356116,6551.098967203961,62266.013014058044,0
4110.284759709658,974.3649457151996,1163.4313174564031,2962.1745694296446,-323.0724809920718,-28566.597544422813,2502.96890479394,2869.809056184616,4139.541400845377,13401.33770433569,2985.4534899171526,277635.9046939645,103454.7533088901,1078.7746267198834,406.88774384916985,-1850.3174858058774,3517.3516951782544,1195.9529574789897,-1602.9846051270615,-6000.541284098686,2863.9771466464917,-2416.926656978523,578.3050665491487,-47955.6570206055,-443.5067542320632,2173.952521662378,2325.684779640853,1325.6412172690102,-72391.6596528521,-2004.2069558717483,89.4252134006698,-1729.13855889637,2096.4469439077247,8013.405453670417,-191927.23422201726,-447.3308678668576,-61076.786001537555,14824.657268168885,3257.7360462910747,-4956.120414390925,-3561.369973622291,2080.3208835702962,1086.4326096598697,48773.084412157106,-10311.190330027905,-4512.06476176321,21738.34726620752,27311.241375058908,25863.00096971249,27544.700775069072,23942.84179260608,42009.23327247046,4403.174271284796,0
7747.108916659538,1027.5228997531121,-22844.708312740902,-28216.77329069605,-5935.5533811388195,-68238.21505250678,-60587.608753230976,32290.1562475844,14999.522569201388,-22460.395543616964,-8050.546311649862,-3367419.62105876,-102551661.29570349,1458.0380916650076,-9295.768323972376,3954.056213874501,488.03218333187897,524916.7270086488,-3623.152403367688,-24240.38434146437,-278832.5010352532,-150104.89349486836,4617.309304186302,418936.5073397621,-619.1793559789883,-2097641.8207625663,-2363145.7301837,-252301.97013385769,1029161.0855336236,362904.4123442065,55007.9124693083,610513.8965889908,2205.0850284121866,9122.787329000612,-222761.7877157795,-16559.875843210422,-134506.11309759304,-120672.98274818259,-50713.52221578085,-16249.510717432178,-8532.007783441128,-42067.63368103358,-43222.65457786652,-260377.41604811745,583255.2294300903,2481174.260815159,28042.19217235201,-1137047.341646426,-9288914.271470193,35120.95650563879,36310.26585204791,57277.4735070364,67138.66316457975,0
1533.0592638248615,-1339.1426272386427,-3851.034532533509,-4822.471113531003,-3752.63975997861,-22145.050144390585,62.269147866340816,10044.382243081707,-8338.340954450341,-17706.028366761646,11584.470467326968,-37599.98996598083,-131175.30918224627,-3960.9974050084493,-4417.08701676873,14620.865323999287,-16956.667008933873,-4779.11305542182,-60909.08685510497,-9972.80193465138,-1186.5238627616964,-16200.58083145014,53678.23725545959,15500.639854672432,-4424.966879415777,-3360.0747970780485,35024.458876582175,-147623.21242872355,89178.43687083307,-110393.61524584744,-10549.146795004135,-11495.01959497475,-4448.456389124514,-4299.499350264527,-512.9644021106154,-12544.768170838164,-41413.426196344,-63993.39510055213,31.978840284573717,-3457.428131741059,17725.554214875065,8927.732158078146,-20907.49180507844,-121.07487583240786,110105.92944289194,127549.10242781989,-4086.3154916269154,49989.185555514414,-46429.49844990913,-6248.950400443691,-23683.018172871733,-8491.538539195004,36230.42188219183,0
2021.316889929544,41.96004205900949,-1586.597225198933,-5940.753068550952,-2542.87906033099,-11055.756126040922,-102.06992767230372,1599.2624125359855,-3341.9109667620564,-2703.913914003168,2087.0242503550435,116791.98921362332,41058.578442177815,-370.408403381354,-2342.378421754743,-4475.354573203567,-1180.915124543147,-82.92023718417856,-6452.047957001115,-6892.813956046963,-2032.3831293712399,2716.484975042604,-1334.3574469192579,3513.654881019956,867.5186697630625,523.0373390189537,19415.62004947706,-826.9506845325686,-44448.52294801429,-1942.283811984617,-4347.509445216572,2822.841918981778,-274.71184342001504,856.016216219737,-38064.36049194248,-4538.0490930843,-22447.95251117196,1768.4744531202994,-1690.7073516730366,-3152.2748078270006,-5230.15841321057,-2221.8007907458123,-9771.96808667121,5631.585587417838,3939.404404260817,4725.2799617415385,7850.698817530283,4529.998167900526,30838.316661839435,10325.61627412386,12409.100556497822,14683.058773939298,40453.58528363072,0
2031.3590792690507,-1180.5460820315645,-1938.9643074082767,-1450.4931757559586,-977.6266515446048,-23476.2433443564,49.012603712828295,1624.7257692620874,-7427.309454453046,-16432.97126158859,-4211.108926517486,-106029.12769519904,9912.494929846804,-2468.2330866724797,-3759.357692399743,-1257.2667088774886,-5972.789384928828,-2174.7735418177813,-7085.015874446977,-22864.5454266826,-8778.660811819009,-12699.6828519306,221.3450529857129,23557.571319359784,-7247.875759607304,8719.877619947094,23493.19871119271,-11970.058336423024,2316.4167988382897,-374.1723748068295,4849.307061569654,885.2608053707402,-2809.755517626401,-7615.663363660481,2078.069407234607,-4905.822840949156,-44214.99008491114,-26067.44442409059,162.96273564709483,-845.4873837447118,-1338.809261360819,-13454.051043482383,-30561.23997994582,-1822.9151770185074,104621.45927222657,5927.43823967304,-4927.500058699779,1200.4637119520112,-6860.45222090978,-6902.42575969442,-4016.4586134136384,-9201.454075278423,-11511.72981833805,0
2122.11367480838,-828.1291072417433,-7170.954746889222,-6683.246109310767,-8823.817458873878,-35035.04033879066,-2724.247659719191,5725.116725888772,-19005.18347348005,-13169.80551208319,36537.34023203475,-68349.7563676754,-406590.0579703525,-2679.4570549219306,-7800.898788334747,384.44158763153763,-14495.619943296962,17067.47183031743,-106661.30629819183,-22303.787979988872,2329.571917471811,2884.791333508252,-36469.983795579035,36171.533084778195,-1642.6989117287912,-6845.6757906345165,53194.13369200628,-28649.938027091514,29302.911327877562,211014.62035656988,-4259.905877171752,-17923.476006134406,-2975.8673274738444,-4014.4957476382374,-16123.611064245284,-16850.839460550087,-69291.74853635325,-146049.74607303392,484.57978944176085,-1184.0636601272784,1785.8270680623816,24931.6665908666,-28712.727049066227,-17818.1060449411,70057.08061462651,-130012.81217210955,1361.3532611319793,67164.56675251017,251198.7663866613,2712.750911986773,3301.155436767861,3540.5453488637104,121429.36924446787,0
1568.733677389252,-1086.8276269077305,-9635.99118496984,18796.0673664694,-3750.78951645276,-25347.600721834122,-65360.24730973474,-55889.63727285145,-1010.1014246670064,73255.70311374763,-6020.050226278232,6100485.79940801,101341.98736920409,-2893.161322613688,-6819.406653576538,4444.4717959768295,-7022.99877164806,91379.19149620553,-761.8095307574382,91974.69066617927,1880.7970314407519,3317.2021607778856,-2970.181736858355,-35207.0411967969,-1737848.4056835892,-12334.811738766164,-86884.06898718335,31824.31016010788,-358106.44919007784,-12260.772517318244,76892.56626988616,-37232.51839448405,-3222.04179434465,137.94946983160878,152968.77643677837,-9740.940268193866,-47599.756750490684,35045.13006442174,-47751.54251627259,-455.6418131562194,2387.219856283088,130303.82952968465,136776.343452359,106332.48236232463,821961.5631139567,-81405.26261491513,5127.702947382618,80118.55231956263,74870.26128454613,7173.979718487702,10519.41279141496,9539.020197259186,-11080.342073288557,0
3929.4303403084837,906.2383506581236,-23170.228454098262,11247.22799409677,-1526.8440130769675,-48598.58786351429,-655.1193425453675,-99714.77080477797,3379.8029874559875,-258220.4555653357,-2317.090388729789,-1881741636.8615906,-262603162.80237797,1017.0720059696885,438.2766254987562,-75272.81286389839,-23471.485338328504,-6991.506792052529,13894.110621986332,-448875.5435230158,-101862.64029445092,-1133750.2305613216,-321197.4602412661,-6916297.880225179,-634.2911284497454,-2442361.972682013,-5070181.13764139,-2158.3148583294005,93258156.43619189,5674292.211397539,-83567336.71996708,83362990.05881685,1848.0914982223649,7605.584204324135,4982.064588181985,-6569.4032460173885,-119226.41734591885,4731.2179458602695,258.8761625051762,-16722.28386632321,-196207.23541404546,952081.3607190186,-829723.5042360906,12287703.641812028,-59410941.42725428,23944496.84838988,19522.104811059606,794175.9929189355,306253.98721004353,24758.42379950353,-58021.663056165344,36198.34498253145,135122.30275804608,0
763.7214925629811,-1588.471495930048,-7790.562282306319,-3318.5738109049157,-3993.9539062603203,-17940.858612309254,93.10272336881836,7613.749364927738,-17719.95014402425,-5958.96413205938,-13573.270393685663,-5476.658814434637,-7536.1376190668725,-2851.931855167584,-6041.722760320171,17987.91419704535,-38688.99510402455,-1232.713649003338,-19122.20729290568,-12022.6880498701,-6176.7668962596545,8353.271601574874,-22843.944688626918,3923.834737548997,-8914.998700615146,-1055.550690771365,81.16689269602546,100314.2398022552,78748.59750585583,-20864.923278021728,-138915.8464706417,16722.589616085912,-3390.660831151801,-3201.0186481688825,8074.685642668289,-11168.910792148057,-32693.230652002334,-2872.484119385941,-321.83829814259616,-2619.2456383073,16503.72253148631,11197.524007430271,-13811.801459395349,13778.15812237538,200003.0897872552,-179603.97006631375,-4043.5644800739337,229071.6141216655,-131168.68165756427,-6300.124220837192,62604.87372629901,-7917.0603311349,26012.41183012558,0
